Company Name,Current Email,Current Phone,Contract Value
PANTEXAS DETERRENCE  LLC,,,30103600000.0
TRIWEST HEALTHCARE ALLIANCE CORP.,,,17845950336.24
OPTUM PUBLIC SECTOR SOLUTIONS  INC.,,,16830727290.14
SIERRA NEVADA COMPANY  LLC,,,12948690145.039999
HUNTINGTON INGALLS INC,,,10350270776.85
GENERAL DYNAMICS CORPORATION,,,9606086117.910002
MCKESSON CORPORATION,,,8894543667.539999
CACI  INC. - FEDERAL,,,8769426755.479998
NORTHROP GRUMMAN SYSTEMS CORPORATION,,,8393008535.72
DELOITTE CONSULTING LLP,,,6570100703.170001
GENERAL ATOMIC TECHNOLOGIES CORPORATION,,,5638295236.600001
TRIAD NATIONAL SECURITY  LLC,,,5216885256.02
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,,,5125092304.629998
INTUITIVE MACHINES  LLC,,,4820000000.0
LOCKHEED MARTIN CORPORATION,,,4519747643.079999
VERTEX AEROSPACE LLC,,,4313213898.11
ACCENTURE FEDERAL SERVICES LLC,,,3916762888.780001
BEYOND NEW HORIZONS  LLC,,,3788828058.01
LOCKHEED MARTIN CORP,,,3438185262.04
SMARTRONIX  LLC,,,3437888077.5099998
SPACE EXPLORATION TECHNOLOGIES CORP.,,,3428134460.32
SAN ANTONIO FAMILY ENDEAVORS  INC.,,,3329900356.98
HII MISSION TECHNOLOGIES CORP,,,3050209030.97
RAYTHEON COMPANY,,,2978919609.52
THALLE CONSTRUCTION CO INC.,,,2903365914.0
JOHNS HOPKINS UNIVERSITY,,,2816866089.06
BAE SYSTEMS LAND & ARMAMENTS L.P.,,,2712833731.94
BECHTEL PLANT MACHINERY  INC.,,,2308047737.0
NORTHROP GRUMMAN CORPORATION,,,2271796813.12
TECHFLOW  INC.,,,2157348169.44
KBR WYLE SERVICES  LLC,,,2121041704.6799996
AMENTUM GOVERNMENT SERVICES HOLDINGS LLC,,,1999225539.2300003
L3HARRIS TECHNOLOGIES  INC.,,,1992158813.2599995
MANTECH INTERNATIONAL CORPORATION,,,1980820022.7900002
CALIFORNIA INSTITUTE OF TECHNOLOGY,,,1977598972.0800002
RAYTHEON/LOCKHEED MARTIN JAVELIN JV,,,1922094921.89
AM GENERAL LLC,,,1786267767.8499997
RAYTHEON TECHNOLOGIES CORPORATION,,,1779497841.3799999
QTC MEDICAL SERVICES INC,,,1703176190.5500002
THE MITRE CORPORATION,,,1698933474.1799996
CERNER CORPORATION,,,1690841789.3200002
ALION SCIENCE AND TECHNOLOGY CORPORATION,,,1631620203.56
UNITED LAUNCH ALLIANCE  L.L.C.,,,1628789352.75
UNITED CLEANUP OAK RIDGE LLC,,,1469539174.64
IRON BOW TECHNOLOGIES  LLC,,,1466670357.4799993
AMENTUM SERVICES  INC.,,,1338389027.6399999
INTERNATIONAL BUSINESS MACHINES CORPORATION,,,1330610689.0600002
BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,,,1283666221.6
SALIENT CRGT INC,,,1271566091.92
HENSEL PHELPS CONSTRUCTION CO.,,,1270454844.29
NAMMO PERRY INC.,,,1264545429.6100001
MEDLINE INDUSTRIES  LP,,,1186990806.4
APTIM FEDERAL SERVICES  LLC,,,1131017123.4399998
HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES  LLC,,,1128205330.56
VALERO ENERGY CORPORATION,,,1127256161.65
MANTECH TSG-2 JOINT VENTURE,,,1105581667.0
OLIN CORPORATION,,,1092838903.8
TEXTRON INC.,,,1023393430.7099999
