ID,Title,Agency,NAICS,NAICS_Description,Value_Low,Value_High,Set_Aside,Competition_Level,Why_Low_Competition,Key_Primes,Prime_Contacts,Action_Steps,Deadline_Type,Industry_Category
1,Zero Trust Architecture Implementation,DoD Cyber Command,541512,Computer Systems Design Services,50000000,150000000,Small Business,Low,Requires FedRAMP and CMMC Level 2+ certifications limiting qualified bidders,"Booz Allen Hamilton,GDIT,Leidos,CACI","smallbusinesscompliance@bah.com,smallbusiness@gdit.com,sbcomp@leidos.com",Contact SBLOs immediately for subcontracting opportunities,Q4 Spending,IT/Cybersecurity
2,Army Ground Vehicle Support Services,Army Procurement,336992,Military Armored Vehicle Manufacturing,25000000,75000000,8(a)/SDVOSB,Low,8(a) and SDVOSB set-asides significantly reduce competition,"BAE Systems,General Dynamics",Marianne.Tenore@BAESYSTEMS.COM,Reach out to BAE Systems SBLO for subcontracting,Q4 Spending,Manufacturing
3,Navy Ship Repair & Modernization,Navy Shipbuilding,336611,Ship Building and Repairing,30000000,100000000,HUBZone/WOSB,Low,HUBZone and WOSB set-asides plus specialized maritime requirements,"Huntington Ingalls,Lockheed Martin,General Dynamics",sefnee.a.manzanares@lmco.com,Contact Lockheed Martin SBLO,Q4 Spending,Manufacturing
4,AI/ML Prototype Development,Air Force RDT&E,541511,Custom Computer Programming Services,15000000,50000000,SBIR/STTR,Low,SBIR/STTR programs limit competition by design,"Lockheed Martin,Boeing,Northrop Grumman,GE",Bethani.Clever@ge.com,Contact GE SBLO for innovative partnerships,Ongoing,IT/Cybersecurity
5,Cloud Migration Services,Multiple DoD,541512,Computer Systems Design Services,20000000,80000000,Small Business,Low,Requires existing cloud certifications and security clearances,"AWS Public Sector,Microsoft Federal,Google Cloud",aws-publicsector-sblo@amazon.com,Apply for AWS Partner Network first,Q4 Spending,IT/Cybersecurity
6,Medical IT Systems Support,Defense Health Agency,541512,Computer Systems Design Services,15000000,45000000,Small Business,Low,Healthcare IT expertise combined with security clearances required,"Leidos,SAIC,Peraton","sbcomp@leidos.com,smallbusiness@saic.com",Contact DHA directly plus prime SBLOs,Q4 Spending,Healthcare IT
7,Facilities Maintenance Services,Army Installation,561210,Facilities Support Services,20000000,60000000,8(a),Low,8(a) set-aside with geographic requirements,"AECOM,Vectrus,KBR","smallbusiness@aecom.com,supplierdiversity@kbr.com",Register in Army CHESS and contact SBLOs,Ongoing,Facilities
8,Base Operations Support,Navy Installations,561210,Facilities Support Services,25000000,70000000,Small Business,Low,Multiple award IDIQ with small business preference,"CACI,ManTech,Akima",smallbusiness@caci.com,Submit capability statement to Navy OSBP,Q4 Spending,Facilities
9,IT Help Desk Services,VA Medical Centers,541512,Computer Systems Design Services,10000000,35000000,SDVOSB,Low,SDVOSB set-aside for veteran healthcare IT,"Booz Allen Hamilton,GDIT,Perspecta",smallbusinesscompliance@bah.com,Register in VA vendor database first,Ongoing,IT/Cybersecurity
10,Cybersecurity Assessment Services,DHS CISA,541512,Computer Systems Design Services,15000000,50000000,Small Business,Low,Requires specialized cyber certifications,"Raytheon,Northrop Grumman,BAE Systems",small.business@raytheon.com,Contact CISA OSDBU directly,Q4 Spending,IT/Cybersecurity
11,Software Development Services,Air Force,541511,Custom Computer Programming Services,20000000,70000000,Small Business,Low,Agile development experience with DoD required,"Boeing,Lockheed Martin,Raytheon",small.business@boeing.com,Apply to Air Force SBIR topics,Ongoing,IT/Cybersecurity
12,Network Infrastructure Upgrade,Army,541512,Computer Systems Design Services,15000000,45000000,8(a),Low,8(a) set-aside with cleared facility requirement,"GDIT,Leidos,SAIC",smallbusiness@gdit.com,Contact Army Network Enterprise Technology Command,Q4 Spending,IT/Cybersecurity
13,Data Analytics Services,DoD Intelligence,541511,Custom Computer Programming Services,25000000,80000000,Small Business,Low,TS/SCI clearance requirement limits competition,"Booz Allen Hamilton,SAIC,ManTech",smallbusinesscompliance@bah.com,Must have existing cleared personnel,Ongoing,IT/Cybersecurity
14,Construction - Military Housing,Army Corps of Engineers,236220,Commercial Building Construction,30000000,100000000,Small Business,Low,Geographic limitation and bonding requirements,"Fluor,Turner Construction,Hensel Phelps",supplier.diversity@fluor.com,Register in Army Corps PMBP,Q4 Spending,Construction
15,HVAC Systems Installation,GSA PBS,238220,HVAC Contractors,10000000,35000000,Small Business,Low,GSA Schedule requirement limits initial competition,"Johnson Controls,Trane,Carrier",supplier.diversity@jci.com,Get on GSA Schedule first,Ongoing,Construction
16,Electrical Infrastructure Upgrade,Navy Public Works,238210,Electrical Contractors,15000000,50000000,HUBZone,Low,HUBZone set-aside with OCONUS locations,"Quanta Services,EMCOR,MYR Group",supplier.diversity@quantaservices.com,Contact Navy PWC directly,Q4 Spending,Construction
17,Road & Bridge Repair,DOT Federal Highway,237310,Highway Construction,25000000,75000000,DBE/Small Business,Low,DBE requirements and geographic limitations,Granite Construction,supplierdiversity@graniteconstruction.com,Register in DOT Civil Rights portal,Ongoing,Construction
18,Environmental Remediation,EPA Superfund,562910,Environmental Remediation Services,20000000,60000000,8(a),Low,8(a) set-aside with specialized environmental certifications,"Jacobs,AECOM,Tetra Tech","smallbusiness@jacobs.com,smallbusiness@aecom.com",Contact EPA OSDBU for mentor-protege,Q4 Spending,Environmental
19,Logistics & Supply Chain,DLA,493110,General Warehousing,20000000,70000000,Small Business,Low,Multiple award with small business preference,"FedEx,UPS,XPO Logistics",supplierdiversity@fedex.com,Register in DLA Internet Bid Board System,Ongoing,Logistics
20,Transportation Services,GSA Fleet,484110,General Freight Trucking,15000000,45000000,Small Business,Low,GSA Schedule requirement and fleet size limitations,"Ryder,Penske,JB Hunt",supplier.diversity@ryder.com,Apply for GSA Schedule 48,Ongoing,Logistics
21,Medical Equipment Maintenance,VA Healthcare,811219,Medical Equipment Repair,10000000,30000000,SDVOSB,Low,SDVOSB set-aside for veteran healthcare facilities,"Philips Healthcare,GE Healthcare,Siemens",supplier.diversity@philips.com,Register in VA VetBiz first,Ongoing,Healthcare
22,Healthcare Staffing Services,DHA,561320,Temporary Staffing Services,25000000,80000000,Small Business,Low,Healthcare credentials and clearance requirements,"AMN Healthcare,Cross Country,CHG Healthcare",supplier.diversity@amnhealthcare.com,Contact DHA contracting office,Q4 Spending,Healthcare
23,Research Laboratory Support,NIH,541711,R&D Biotechnology,15000000,50000000,Small Business,Low,Specialized scientific expertise requirements,"Battelle,Leidos,SAIC",small.business@battelle.org,Apply for NIH SBIR/STTR grants,Ongoing,R&D
24,Engineering Design Services,Army Corps of Engineers,541330,Engineering Services,20000000,65000000,8(a),Low,8(a) set-aside with PE license requirements,"AECOM,Jacobs,HDR","smallbusiness@aecom.com,smallbusiness@jacobs.com",Register in Army Corps A-E services,Ongoing,Engineering
25,Technical Writing Services,DoD,541430,Graphic Design Services,5000000,20000000,WOSB,Low,WOSB set-aside with security clearance requirements,"CACI,ManTech,SAIC",smallbusiness@caci.com,Contact DoD OSBP for opportunities,Ongoing,Professional Services
26,Training Development Services,Army Training Command,611430,Professional Training,15000000,45000000,Small Business,Low,Military training expertise requirements,"Cubic,CAE,L3Harris",supplier.diversity@cubic.com,Register in Army Training marketplace,Q4 Spending,Professional Services
