Opportunity,Agency,Value Range,NAICS,Set-Aside,Deadline,Why Low Competition
DoD Cyber Command - Zero Trust Implementation Phase 2,Department of Defense,$15M-$50M,541512 - Computer Systems Design,8(a) Competitive,Feb 2026,NDAA mandates accelerated implementation; limited cleared contractors
Army CMMC Assessment & Remediation Support,Department of the Army,$5M-$25M,541512 - Computer Systems Design,Small Business Set-Aside,Jan 2026,New requirement from NDAA; first-mover advantage
Navy Fleet Readiness - Predictive Maintenance AI,Department of the Navy,$10M-$40M,541715 - R&D Engineering Sciences,Small Business Set-Aside,Feb 2026,Emerging tech requirement; few established vendors
Air Force Cloud Migration Services,Department of the Air Force,$20M-$75M,541512 - Computer Systems Design,Full & Open (SB Evaluation Factor),Mar 2026,Accelerated timeline from NDAA; capacity constraints
DLA Supply Chain Visibility Platform,Defense Logistics Agency,$8M-$30M,541512 - Computer Systems Design,8(a) Sole Source,Jan 2026,NDAA supply chain transparency mandate; specialized requirement
MDA Hypersonic Defense Analytics,Missile Defense Agency,$25M-$100M,541715 - R&D Engineering Sciences,Small Business Set-Aside,Mar 2026,Critical tech area with funding increase; cleared vendor shortage
Cyber Command Threat Intelligence Platform,US Cyber Command,$10M-$45M,541512 - Computer Systems Design,8(a) Competitive,Feb 2026,Expanding mission; TS/SCI requirement limits competition
Space Force Satellite Ground Systems Support,US Space Force,$15M-$60M,541330 - Engineering Services,Small Business Set-Aside,Feb 2026,New service branch still building vendor base
DOE National Lab Cybersecurity Modernization,Department of Energy,$5M-$20M,541512 - Computer Systems Design,Small Business Set-Aside,Jan 2026,NDAA cyber harmonization requirement; Q clearance limits pool
Defense Health Agency - Medical Records Integration,Defense Health Agency,$10M-$35M,541512 - Computer Systems Design,SDVOSB Set-Aside,Feb 2026,VA/DoD integration mandate; healthcare IT specialists needed
Army Corps of Engineers - Infrastructure Assessment,US Army Corps of Engineers,$8M-$25M,541330 - Engineering Services,8(a) Competitive,Jan 2026,NDAA infrastructure funding; regional small business preference
NAVFAC Facilities Energy Optimization,Naval Facilities Engineering Command,$5M-$18M,541330 - Engineering Services,Small Business Set-Aside,Feb 2026,Energy mandates create new requirements; sustainability expertise needed
Air Force Research Lab - Advanced Materials,Air Force Research Laboratory,$12M-$50M,541715 - R&D Engineering Sciences,Small Business Set-Aside,Mar 2026,SBIR/STTR bridge opportunity; specialized technical knowledge
DISA Network Modernization Support,Defense Information Systems Agency,$20M-$80M,541512 - Computer Systems Design,Full & Open (SB Subcontracting),Mar 2026,Large contract with substantial SB subcontracting goals
Army Futures Command - Prototype Development,Army Futures Command,$8M-$30M,541715 - R&D Engineering Sciences,Small Business Set-Aside,Feb 2026,OTA pathway available; innovation-focused evaluation
Navy Shipyard Digital Transformation,Naval Sea Systems Command,$15M-$55M,541512 - Computer Systems Design,Small Business Set-Aside,Mar 2026,Modernization push; limited shipyard IT experience in market
DLA Distribution Center Automation,Defense Logistics Agency,$10M-$40M,541512 - Computer Systems Design,8(a) Competitive,Feb 2026,Warehouse automation expertise scarce in GovCon
Space Force Launch Operations Support,US Space Force,$12M-$45M,541330 - Engineering Services,Small Business Set-Aside,Mar 2026,Commercial space crossover opportunity; new requirements
Cyber Command Training & Simulation,US Cyber Command,$8M-$28M,541512 - Computer Systems Design,SDVOSB Set-Aside,Jan 2026,Cyber range expertise limited; veteran-owned preference
