company,contract_count,total_contract_value,agencies,naics,has_subcontract_plan
PANTEXAS DETERRENCE  LLC,1,30103600000.0,"ENERGY, DEPARTMENT OF",561210,True
OPTUM PUBLIC SECTOR SOLUTIONS INC,9,23346251686.63,"VETERANS AFFAIRS, DEPARTMENT OF",524114,True
TRIWEST HEALTHCARE ALLIANCE CORP.,26,17845950336.24,"DEFENSE HEALTH AGENCY (DHA), VETERANS AFFAIRS, DEPARTMENT OF","524114, 524292",True
OPTUM PUBLIC SECTOR SOLUTIONS  INC.,30,16830727290.14,"VETERANS AFFAIRS, DEPARTMENT OF",524114,True
SIERRA NEVADA COMPANY  LLC,65,12948690145.039999,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE, U.S. CUSTOMS AND BORDER PROTECTION","334220, 334511, 336411, 336413, 488190, 511210, 513210, 541511, 541990, 561990",True
BOOZ ALLEN HAMILTON INC,153,10737593516.500006,"ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, BUREAU OF THE FISCAL SERVICE, CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","541330, 541511, 541512, 541519, 541611, 541612, 541690, 541712, 541714, 541715",True
HUNTINGTON INGALLS INC,29,10350270776.85,"DEPT OF THE NAVY, U.S. COAST GUARD",336611,True
GENERAL DYNAMICS CORPORATION,112,9606086117.910002,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY, DEPT OF THE NAVY, NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","332993, 334412, 336611, 336992, 336999, 541330, 541715, 811111",True
MCKESSON CORPORATION,94,8894543667.539999,"ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, FEDERAL PRISON SYSTEM / BUREAU OF PRISONS, INDIAN HEALTH SERVICE, VETERANS AFFAIRS, DEPARTMENT OF",325412,True
CACI  INC. - FEDERAL,67,8769426755.479998,"CENTERS FOR DISEASE CONTROL AND PREVENTION, DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY (DCSA), DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS), DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPARTMENTAL OFFICES","541330, 541511, 541512, 541519, 541611, 541614, 541715, 541990, 561611",True
