rank,company,contract_value,contract_count,naics,agencies,sblo_name,email,phone,website,email_patterns,research_status,research_notes
1,PANTEXAS DETERRENCE  LLC,"$30,103,600,000",1,561210,"ENERGY, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.pantexasdeterrence.com,smallbusiness@pantexasdeterrence.com; sblo@pantexasdeterrence.com; small.business@pantexasdeterrence.com; supplier.diversity@pantexasdeterrence.com; osdbu@pantexasdeterrence.com; procurement@pantexasdeterrence.com,PENDING,
2,OPTUM PUBLIC SECTOR SOLUTIONS INC,"$23,346,251,687",9,524114,"VETERANS AFFAIRS, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.optumpublicsectorsolutions.com,smallbusiness@optumpublicsectorsolutions.com; sblo@optumpublicsectorsolutions.com; small.business@optumpublicsectorsolutions.com; supplier.diversity@optumpublicsectorsolutions.com; osdbu@optumpublicsectorsolutions.com; procurement@optumpublicsectorsolutions.com,PENDING,
3,TRIWEST HEALTHCARE ALLIANCE CORP.,"$17,845,950,336",26,"524114, 524292","DEFENSE HEALTH AGENCY (DHA), VETERANS AFFAIRS, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.triwesthealthcarealliancecorp.com,smallbusiness@triwesthealthcarealliancecorp.com; sblo@triwesthealthcarealliancecorp.com; small.business@triwesthealthcarealliancecorp.com; supplier.diversity@triwesthealthcarealliancecorp.com; osdbu@triwesthealthcarealliancecorp.com; procurement@triwesthealthcarealliancecorp.com,PENDING,
4,OPTUM PUBLIC SECTOR SOLUTIONS  INC.,"$16,830,727,290",30,524114,"VETERANS AFFAIRS, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.optumpublicsectorsolutionsinc.com,smallbusiness@optumpublicsectorsolutionsinc.com; sblo@optumpublicsectorsolutionsinc.com; small.business@optumpublicsectorsolutionsinc.com; supplier.diversity@optumpublicsectorsolutionsinc.com; osdbu@optumpublicsectorsolutionsinc.com; procurement@optumpublicsectorsolutionsinc.com,PENDING,
5,SIERRA NEVADA COMPANY  LLC,"$12,948,690,145",65,"334220, 334511, 336411, 336413, 488190, 511210, 513210, 541511, 541990, 561990","DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE, U.S. CUSTOMS",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.sierranevadacompany.com,smallbusiness@sierranevadacompany.com; sblo@sierranevadacompany.com; small.business@sierranevadacompany.com; supplier.diversity@sierranevadacompany.com; osdbu@sierranevadacompany.com; procurement@sierranevadacompany.com,PENDING,
6,BOOZ ALLEN HAMILTON INC,"$10,737,593,517",153,"541330, 541511, 541512, 541519, 541611, 541612, 541690, 541712, 541714, 541715","ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, BUREAU OF THE FISCAL SERVICE, CENTERS FOR DI",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.boozallenhamilton.com,smallbusiness@boozallenhamilton.com; sblo@boozallenhamilton.com; small.business@boozallenhamilton.com; supplier.diversity@boozallenhamilton.com; osdbu@boozallenhamilton.com; procurement@boozallenhamilton.com,PENDING,
7,HUNTINGTON INGALLS INC,"$10,350,270,777",29,336611,"DEPT OF THE NAVY, U.S. COAST GUARD",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.huntingtoningalls.com,smallbusiness@huntingtoningalls.com; sblo@huntingtoningalls.com; small.business@huntingtoningalls.com; supplier.diversity@huntingtoningalls.com; osdbu@huntingtoningalls.com; procurement@huntingtoningalls.com,PENDING,
8,GENERAL DYNAMICS CORPORATION,"$9,606,086,118",112,"332993, 334412, 336611, 336992, 336999, 541330, 541715, 811111","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY, DEPT",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.generaldynamics.com,smallbusiness@generaldynamics.com; sblo@generaldynamics.com; small.business@generaldynamics.com; supplier.diversity@generaldynamics.com; osdbu@generaldynamics.com; procurement@generaldynamics.com,PENDING,
9,MCKESSON CORPORATION,"$8,894,543,668",94,325412,"ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, FEDERAL PRISON SYSTEM / BUREAU OF PRISONS, I",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.mckesson.com,smallbusiness@mckesson.com; sblo@mckesson.com; small.business@mckesson.com; supplier.diversity@mckesson.com; osdbu@mckesson.com; procurement@mckesson.com,PENDING,
10,CACI  INC. - FEDERAL,"$8,769,426,755",67,"541330, 541511, 541512, 541519, 541611, 541614, 541715, 541990, 561611","CENTERS FOR DISEASE CONTROL AND PREVENTION, DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY (DCSA), ",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.caciincfederal.com,smallbusiness@caciincfederal.com; sblo@caciincfederal.com; small.business@caciincfederal.com; supplier.diversity@caciincfederal.com; osdbu@caciincfederal.com; procurement@caciincfederal.com,PENDING,
11,NORTHROP GRUMMAN SYSTEMS CORPORATION,"$8,393,008,536",344,"332919, 332991, 332993, 332994, 333314, 333318, 333415, 333612, 333998, 334220","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFEN",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.northropgrummansystems.com,smallbusiness@northropgrummansystems.com; sblo@northropgrummansystems.com; small.business@northropgrummansystems.com; supplier.diversity@northropgrummansystems.com; osdbu@northropgrummansystems.com; procurement@northropgrummansystems.com,PENDING,
